여행ID,숙소명,숙박경비순번,숙소유형코드,예약여부,체크인시간,체크아웃시간,소비인원,사업자등록번호,상호명,도로명주소,지번주소,도로명코드,지번코드,결제일식,결제방식,결제금액,소비내역
d_d002457,바람이쉬어가는집,0,3,Y,2022/10/10 0:00,2022/10/11 0:00,5,,,제주특별자치도 제주시 한림읍 협재2길 37-1,제주특별자치도 제주시 한림읍 협재리 2011,,,,1,375000,
d_d001354,HAEVICH HOTEL & RESORT JEJU,10,1,,,,1,6168127929,해비치호텔앤드리조트㈜,제주특별자치도 서귀포시 표선면 민속해안로 537,,3350090,5013032021,2022/09/12 10:14,1,15750,리조트비
d_d000345,글래즈하임호텔,2,1,Y,2022/08/21 0:00,2022/08/22 0:00,2,5278800686,주식회사 카카오페이,경기 성남시 분당구 판교역로 152,경기 성남시 분당구 백현동 537,3179025,4113511000,2022/07/27 1:48,1,81000,숙박비
d_d000181,서머셋 제주신화월드,0,4,Y,2022/08/18 0:00,2022/08/21 0:00,14,,,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,제주특별자치도 서귀포시 안덕면 서광리 산 24-15,,,,5,37800,
d_d006167,비양도 캠핑장,0,5,N,2022/10/15 0:00,2022/10/16 0:00,1,,,,제주특별자치도 제주시 우도면 연평리,,,,,0,
c_c002769,라마다프라자바이윈덤 여수,1,1,Y,2022/09/25 0:00,2022/09/26 0:00,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022/08/11 10:00,1,145975,HO-(조식 2인 패키지)
d_d001540,엠버호텔 제주,1,1,Y,2022/09/25 0:00,2022/09/26 0:00,1,6168602786,주식회사엠버서더,제주특별자치도 제주시 삼무로 12,제주특별자치도 제주시 연동 251-1,3349083,5011013700,2022/09/25 15:55,1,70000,
d_d000226,하도야비어.하도야베드민박,10,8,,,,2,,하도야비어.하도야베드민박,세종로 285 1층,,,,,1,22000,민박비
d_d001115,켄싱턴리조트 서귀포,0,4,Y,2022/09/10 0:00,2022/09/11 0:00,3,,,제주특별자치도 서귀포시 이어도로 684,제주특별자치도 서귀포시 강정동 2677,,,,1,279000,
d_d009361,롯데호텔 제주,0,1,N,2022/10/31 0:00,2022/11/01 0:00,3,,,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도 서귀포시 색달동 2812-4,,,,1,318835,
d_d000126,제주웨스턴그레이스 강정점,0,1,Y,2022/08/10 0:00,2022/08/11 0:00,1,,,제주특별자치도 서귀포시 김정문화로27번길 9-7,제주특별자치도 서귀포시 강정동 173-1,,,,1,40500,
d_d001748,제주로와게스트하우스,0,7,Y,2022/09/25 0:00,2022/09/26 0:00,1,,,제주특별자치도 제주시 제원길 16,제주특별자치도 제주시 연동 261-60,,,,3,25000,
