방문자ID,여행ID,진행순서,방문지명,방문시작일자,방문종료일자,도로명주소,지번주소,X좌표,Y좌표,도로명코드,지번코드,POI_ID,POI_NM,체류시간,방문자유형코드,재방문여부,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,만족도,재방문의향,추천의향,시군구코드
2210100005,d_d003392,16,닭머르해안길 1코스,2022-10-10,2022-10-10,,제주특별자치도 제주시 조천읍 신촌리 4005,126.6161239,33.53716697,,,,,60,7,N,1,,5,5,5,
2209130002,d_d001354,22,광치기해변,2022-09-13,2022-09-13,,제주특별자치도 서귀포시 성산읍 고성리 224-33,126.9238966,33.45231691,,,,,30,1,Y,4,,4,4,4,
2210260008,d_d008982,3,제주국제공항,2022-10-26,2022-10-26,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 2002,126.492769,33.50707896,,,,,30,9,Y,11,,5,5,5,
2210290007,d_d007770,19,제주국제공항,2022-10-29,2022-10-29,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 2002,126.492769,33.50707896,,,,,90,9,Y,11,,5,5,5,
2210290005,d_d009270,5,청주국제공항,2022-10-29,2022-10-29,충북 청주시 청원구 내수읍 오창대로 980,,127.4958529,36.72202246,,,,,30,9,Y,6,11,5,5,5,43114
2210160002,d_d006167,11,도두봉공원,2022-10-16,2022-10-16,,제주특별자치도 제주시 도두일동 산 2,126.4685558,33.50780151,,,,,60,1,Y,1,,5,5,5,
2209240007,c_c002365,7,우리동네민박,2022-09-24,2022-09-25,사도길 22-3,,,,,,,,330,24,N,2,8,5,5,5,46130
2209090002,d_d001115,7,은희네해장국 함덕점,2022-09-09,2022-09-09,제주특별자치도 제주시 조천읍 조함해안로 480,제주특별자치도 제주시 조천읍 함덕리 1252-42,126.6641614,33.54301544,,,,,30,11,N,2,,5,5,5,
2208200001,b_b002037,1,집,2022-08-20,2022-08-20,,,,,,,,,,21,,,,,,,11260
2210090007,b_b005863,17,종화동다방,2022-10-09,2022-10-09,전남 여수시 중앙로 72-6,전남 여수시 중앙동 778,127.7353884,34.7398446,,,,,60,11,N,2,,4,3,4,
2210070003,d_d001892,6,에코랜드,2022-10-07,2022-10-07,번영로1278-16,,129.2767163,35.84346684,,,,,180,1,N,5,,5,5,5,50110
2210220004,d_d006836,12,보롬왓,2022-10-22,2022-10-22,제주특별자치도 서귀포시 표선면 번영로 2350-104,제주특별자치도 서귀포시 표선면 성읍리 3229-4,126.7524958,33.41349708,,,POI01000000EG7OBW,보롬왓,30,13,N,1,,5,4,4,
