여행ID,이동수단구분,이용경비구분,이용경비순번,이동수단구분명,소비인원,사업자등록번호,상호명,결제일시,결제방식구분,결제금액,소비내역
d_d009164,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,7200,
d_d003046,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,30000,
d_d005339,9,교통비,0,항공기,1,,,,,130000,비행기표
d_d010245,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,2700,
d_d000552,9,교통비,0,항공기,6,,,,,788400,비행기표
b_b005163,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
d_d009245,4,교통비,1,택시,1,6162677416,개인택시,2022/11/07 9:52,1,6600,택시비
b_b008580,10,교통비,1,배/선박,3,5083500340,(주)외도보타니아,2022/10/30 11:20,1,33000,승선권
a_a007263,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,300,
d_d005004,50,교통비,0,버스 + 지하철,1,,,,,12600,
d_d002137,2,렌탈비,3,렌터카(승용/승합/버스 등등),4,3458700525,제주공항전기차,2022/09/28 17:07,1,146100,렌트카
d_d006694,1,주유비,12,자가용(승용/승합/트럭 등등),2,3300601052,한동LPG자동차충전소,2022/10/18 18:16,1,30069,주유비
d_d001764,2,주유비,0,렌터카(승용/승합/버스 등등),5,,,,,80000,
d_d002872,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,140000,
d_d001653,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,64200,
d_d009833,4,교통비,5,택시,1,6162017978,개인택시,2022/11/05 12:13,1,4800,택시비
a_a001131,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,77000,
d_d002026,1,주차비,11,자가용(승용/승합/트럭 등등),2,6168300278,제주시청,2022/10/27 14:48,1,2500,주차비
d_d002146,4,교통비,0,택시,2,,,,,7000,
b_b014724,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,12000,
d_d001515,2,렌탈비,13,렌터카(승용/승합/버스 등등),4,6168617974,에이스렌트카(주),2022/10/02 12:44,1,12000,렌트비
d_d002997,2,주유비,4,렌터카(승용/승합/버스 등등),3,6163079935,이좋은주유소,2022/10/16 12:29,1,35000,주유비
a_a006466,1,주차비,11,자가용(승용/승합/트럭 등등),4,3268601467,주식회사우형(삼송서진주유소),2022/10/10 9:48,1,57645,주차비
d_d002080,4,교통비,1,택시,2,,,2022/10/01 16:44,1,6500,택시비
d_d006711,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,30000,
